dataset,type,model,rho,r
13PK_A,Enzyme,LG,0.9989498308464115,0.9999209419814774
13PK_A,Enzyme,WAG,0.9992732150794083,0.9998600265563906
13PK_A,Enzyme,JTT,0.9986784633992914,0.9996448791922556
13PK_A,Enzyme,gcpREV,0.9990766029760497,0.9996313813534362
13PK_A,Enzyme,mtMet,0.9987534232105922,0.999580554524469
13PK_A,Enzyme,HIVb,0.9985430583675795,0.9997702886898467
13PK_A,Enzyme,JC,0.9994163804755385,0.9996679699830437
1A16_A,Enzyme,LG,0.9999589369325976,0.9998656242362335
1A16_A,Enzyme,WAG,0.9999499736635307,0.9999801472668141
1A16_A,Enzyme,JTT,0.9999406255863849,0.9996243927173257
1A16_A,Enzyme,gcpREV,0.9989342562120043,0.9997942071831452
1A16_A,Enzyme,mtMet,0.9998830929589709,0.9998183716526966
1A16_A,Enzyme,HIVb,0.9999239501919956,0.9998828345717818
1A16_A,Enzyme,JC,0.9999487211395911,0.9999818053768925
1A4L_A,Enzyme,LG,0.9973081802205784,0.9991647811322343
1A4L_A,Enzyme,WAG,0.9985020742208638,0.999448157921798
1A4L_A,Enzyme,JTT,0.9989885299955701,0.9994717901156471
1A4L_A,Enzyme,gcpREV,0.9986078014579941,0.998912837406232
1A4L_A,Enzyme,mtMet,0.9973120678736003,0.998216048733924
1A4L_A,Enzyme,HIVb,0.9970194000855815,0.9992471745324533
1A4L_A,Enzyme,JC,0.9956774564794955,0.9994835416801328
1A50_B,Enzyme,LG,0.9996741065984714,0.999502687676113
1A50_B,Enzyme,WAG,0.9996443288009951,0.999328518696341
1A50_B,Enzyme,JTT,0.9997495245549024,0.9997662233880867
1A50_B,Enzyme,gcpREV,0.9998431380817182,0.9997663774715351
1A50_B,Enzyme,mtMet,0.9996991642239348,0.9993375783530044
1A50_B,Enzyme,HIVb,0.9998230624418876,0.9996902151928125
1A50_B,Enzyme,JC,0.9997719608242074,0.9997322873742682
1A8H_A,Enzyme,LG,0.9997117554845939,0.9998932072466671
1A8H_A,Enzyme,WAG,0.9993318725240901,0.9994860685910856
1A8H_A,Enzyme,JTT,0.9996372337759186,0.9998804343317577
1A8H_A,Enzyme,gcpREV,0.9996331968784785,0.999553452561003
1A8H_A,Enzyme,mtMet,0.9995699812714659,0.9991890445554142
1A8H_A,Enzyme,HIVb,0.9996306179511314,0.9997499620810679
1A8H_A,Enzyme,JC,0.999803078257718,0.9996897770482056
1A8S_A,Enzyme,LG,0.9988331233815677,0.9997452710263695
1A8S_A,Enzyme,WAG,0.9989389204827177,0.9998596956662611
1A8S_A,Enzyme,JTT,0.9985559951530375,0.9996015774514547
1A8S_A,Enzyme,gcpREV,0.9987881400452819,0.999783058786208
1A8S_A,Enzyme,mtMet,0.9987350283061963,0.9995671547598222
1A8S_A,Enzyme,HIVb,0.9985145366442771,0.9997860950918007
1A8S_A,Enzyme,JC,0.998850263386687,0.9998590801227979
1AF7_A,Enzyme,LG,0.9983472619576533,0.9992552979139588
1AF7_A,Enzyme,WAG,0.998776864755867,0.9996750955837286
1AF7_A,Enzyme,JTT,0.9979518910619914,0.9988475086566471
1AF7_A,Enzyme,gcpREV,0.9991161479702932,0.9989101005873526
1AF7_A,Enzyme,mtMet,0.9973608985457404,0.9979326111244868
1AF7_A,Enzyme,HIVb,0.9985281039577381,0.9997050565235885
1AF7_A,Enzyme,JC,0.9992704606886532,0.9994245425477637
1AJ8_A,Enzyme,LG,0.9997523309465552,0.9997138075576686
1AJ8_A,Enzyme,WAG,0.9997789822136164,0.9994834625752481
1AJ8_A,Enzyme,JTT,0.9997836144242527,0.9997714164252249
1AJ8_A,Enzyme,gcpREV,0.999683565834846,0.9998932225564753
1AJ8_A,Enzyme,mtMet,0.9996460260159521,0.9996809151075374
1AJ8_A,Enzyme,HIVb,0.9998029454712543,0.9999620185232717
1AJ8_A,Enzyme,JC,0.9999293968376641,0.9997306739328671
1B73_A,Enzyme,LG,0.9994962605981127,0.9997577288297849
1B73_A,Enzyme,WAG,0.9997628033714209,0.9988495951043329
1B73_A,Enzyme,JTT,0.9996820138839386,0.9998532786396177
1B73_A,Enzyme,gcpREV,0.9996610724238824,0.9997991309887148
1B73_A,Enzyme,mtMet,0.9990995546957433,0.9992349379880546
1B73_A,Enzyme,HIVb,0.9996430747746909,0.9998843504326221
1B73_A,Enzyme,JC,0.999503127972353,0.9998497062356947
1B8F_A,Enzyme,LG,0.9998751264786164,0.999293296117339
1B8F_A,Enzyme,WAG,0.9998106275174754,0.9999752305738404
1B8F_A,Enzyme,JTT,0.9998636562162733,0.9995872268956583
1B8F_A,Enzyme,gcpREV,0.9998521859369908,0.9998666871682985
1B8F_A,Enzyme,mtMet,0.9995793096450927,0.9993523833770827
1B8F_A,Enzyme,HIVb,0.9996689420315874,0.9995510955614912
1B8F_A,Enzyme,JC,0.999606463059914,0.9997006286708661
1B93_A,Enzyme,LG,0.9991449494597892,0.999407645901642
1B93_A,Enzyme,WAG,0.9993010292561051,0.9995651222823801
1B93_A,Enzyme,JTT,0.9991335995938094,0.9994107010261112
1B93_A,Enzyme,gcpREV,0.998879847046554,0.9994143240527117
1B93_A,Enzyme,mtMet,0.9991219019249229,0.9991692234225241
1B93_A,Enzyme,HIVb,0.9987393440500971,0.9998167390516002
1B93_A,Enzyme,JC,0.9997043618237492,0.99906191030017
1BF2_A,Enzyme,LG,0.9986706914531671,0.99971766371192194
1BF2_A,Enzyme,WAG,0.9991026157913473,0.9990894709901106
1BF2_A,Enzyme,JTT,0.9991478283401996,0.9996158316669307
1BF2_A,Enzyme,gcpREV,0.9991220346723233,0.9995637858958534
1BF2_A,Enzyme,mtMet,0.9984117990594006,0.9993566842437308
1BF2_A,Enzyme,HIVb,0.9990675549643813,0.9997216777820034
1BF2_A,Enzyme,JC,0.9984054194212432,0.9997499654787888
1BJO_A,Enzyme,LG,0.9984091930571398,0.9986008512129478
1BJO_A,Enzyme,WAG,0.9994421746633502,0.9999275382746252
1BJO_A,Enzyme,JTT,0.9991978886873746,0.9996329332145113
1BJO_A,Enzyme,gcpREV,0.9987577356281189,0.9998773008371024
1BJO_A,Enzyme,mtMet,0.9991947704966374,0.9997949262781726
1BJO_A,Enzyme,HIVb,0.9990362164255366,0.9999208446212122
1BJO_A,Enzyme,JC,0.9981729258822234,0.9991434664717521
1BQC_A,Enzyme,LG,0.9991808634095387,0.9998960089856946
1BQC_A,Enzyme,WAG,0.9995419486962127,0.9990803700116628
1BQC_A,Enzyme,JTT,0.9996582427419143,0.9998869754290561
1BQC_A,Enzyme,gcpREV,0.9997361512277749,0.9996431889468302
1BQC_A,Enzyme,mtMet,0.9991186784544066,0.9993090711240288
1BQC_A,Enzyme,HIVb,0.9997300458020084,0.999688337275327
1BQC_A,Enzyme,JC,0.9982635174755519,0.9995804549977452
1BZC_A,Enzyme,LG,0.9909895053091654,0.9989587159193974
1BZC_A,Enzyme,WAG,0.9890376069229333,0.9988896694646937
1BZC_A,Enzyme,JTT,0.9913063095079531,0.9989229997243846
1BZC_A,Enzyme,gcpREV,0.9925080938961292,0.9986722852728059
1BZC_A,Enzyme,mtMet,0.9937493526242918,0.9982049706503595
1BZC_A,Enzyme,HIVb,0.9947701554778619,0.9994832334322755
1BZC_A,Enzyme,JC,0.9958935370662895,0.9991404098553999
