dataset,sequences,sites,model,type,logl,AICc,nparam,treelength
ENSG00000180245,21,388,JTT-No,gpcr,-4785.15233893,9687.15076513,58,2.08086615792
ENSG00000149534,21,280,WAG-No,gpcr,-5410.34761775,10937.8709785,58,4.97688416532
ENSG00000116329,20,396,JC69-No,gpcr,-2807.52448272,5727.8608693,56,0.785821836179
ENSG00000139679,22,347,HIVBm-G,gpcr,-2326.91509608,4774.796784,60,0.881756621652
ENSG00000125245,30,336,LG-G,gpcr,-3463.86168612,7082.92433205,77,1.90103016665
ENSG00000168539,20,465,LG-G,gpcr,-2080.17813687,4271.02265194,55,0.323707391347
ENSG00000186943,22,320,mtMet-No,gpcr,-3783.51801826,7688.08489739,60,1.77038802922
ENSG00000144648,22,407,gcpREV-No,gpcr,-5912.95483327,11946.7327859,60,2.8242471594
ENSG00000092421,21,1080,gcpREV-G,gpcr,-7335.54259053,14789.3981784,59,0.759460988325
ENSG00000170820,22,697,HIVBm-G,gpcr,-6793.30286753,13709.1010205,61,1.48603977453
ENSG00000125245,30,336,WAG-No,gpcr,-3630.13908157,7413.44821212,76,1.34562476294
ENSG00000174948,21,778,JC69-G,gpcr,-10807.6742486,21733.7834401,59,2.52826559883
ENSG00000107779,22,538,JC69-No,gpcr,-3071.70616877,6262.01356038,59,0.389386261796
ENSG00000134489,23,429,gcpREV-G,gpcr,-8393.46292739,16913.7484601,63,7.04226924508
ENSG00000169618,24,395,JTT-G,gpcr,-3519.79133152,7170.49407158,65,1.38501293349
ENSG00000169313,20,360,WAG-No,gpcr,-3089.82636444,6292.546471,56,1.06059847094
ENSG00000181773,22,331,gcpREV-G,gpcr,-2461.61996762,5046.28758067,61,1.73927730407
ENSG00000173402,23,899,gcpREV-No,gpcr,-6834.37535872,13793.1296832,62,0.773175078668
ENSG00000094755,23,447,mtMet-G,gpcr,-3011.79720244,6150.38367765,63,0.90444702194
ENSG00000197403,20,312,LG-No,gpcr,-2833.58697283,5780.20645415,56,1.02745881747
ENSG00000137872,25,1091,LG-G,gpcr,-6725.42876554,13585.1924449,67,0.777077577675
ENSG00000135312,21,392,gcpREV-G,gpcr,-2809.37624533,5737.61886365,59,1.17068363152
ENSG00000147145,21,370,gcpREV-G,gpcr,-1575.90866772,3270.73562338,59,0.227533342188
ENSG00000179546,24,378,JC69-No,gpcr,-4493.03672824,9114.99718248,64,1.56560260891
ENSG00000011677,20,501,gcpREV-No,gpcr,-2665.80639997,5444.25357079,56,0.390389053419
ENSG00000137872,25,1091,WAG-G,gpcr,-6716.43398997,13567.2028938,67,0.750560282725
ENSG00000183840,24,474,JTT-G,gpcr,-6009.00970738,12148.7780355,65,2.72119710962
ENSG00000139193,22,295,JC69-No,gpcr,-5558.77105449,11238.6806997,60,3.66717732364
ENSG00000197403,20,312,HIVBm-No,gpcr,-2789.58699807,5692.20650464,56,1.04913152659
ENSG00000102468,30,472,HIVBm-G,gpcr,-4785.3295567,9725.51211723,77,1.78658899122
ENSG00000137070,20,470,LG-G,gpcr,-5816.57557335,11747.8589181,57,3.41176339205
ENSG00000121594,20,357,WAG-G,gpcr,-6455.58840899,13026.1104525,57,6.24882495372
ENSG00000162594,20,698,JC69-G,gpcr,-11797.8847355,23710.245086,57,3.60389675151
ENSG00000089692,21,565,JC69-G,gpcr,-11016.0505923,22150.7009304,59,4.25300056632
ENSG00000144891,21,359,gcpREV-G,gpcr,-2213.03941644,4542.99380614,58,0.730079539139
ENSG00000115353,22,409,WAG-No,gpcr,-2554.82338551,5230.46583782,60,0.516075571598
ENSG00000198104,20,317,WAG-No,gpcr,-3733.87219616,7580.76046745,56,1.65892414234
ENSG00000126010,24,391,JC69-G,gpcr,-3251.92001985,6634.76083816,65,1.48306109554
ENSG00000164251,23,411,JC69-No,gpcr,-5726.49957991,11577.8311087,62,2.03743688477
ENSG00000172381,22,319,HIVBm-G,gpcr,-3605.3394179,7333.76624236,61,3.30539470041
ENSG00000180616,25,375,JC69-G,gpcr,-2718.43632685,5571.85170172,67,1.04582757484
ENSG00000184140,21,315,mtMet-G,gpcr,-4261.85896606,8642.79802366,59,2.97595649075
ENSG00000161649,21,486,JC69-G,gpcr,-8264.05039492,16646.7986018,59,5.61416018661
ENSG00000148604,22,308,JTT-No,gpcr,-3517.72383986,7156.53777652,60,1.76297283679
ENSG00000146904,20,1002,JC69-G,gpcr,-10128.3846959,20371.1002896,57,1.40126101882
ENSG00000163485,20,368,HIVBm-G,gpcr,-2560.44122115,5235.78794764,57,1.40284401537
ENSG00000139636,24,494,JTT-G,gpcr,-2717.82541303,5566.37856143,65,0.454717922103
ENSG00000116329,20,396,JTT-G,gpcr,-2618.84394701,5352.52890139,57,0.862980177826
ENSG00000132975,25,335,gcpREV-No,gpcr,-2607.62787185,5346.28835895,65,0.899967602786
ENSG00000173890,22,341,JC69-G,gpcr,-5924.47496064,11971.966588,61,3.82655698253
ENSG00000117400,20,712,mtMet-G,gpcr,-9650.4181873,19415.3025994,57,3.69859984367
ENSG00000171860,21,503,LG-G,gpcr,-8693.24170072,17505.1574946,59,3.92478904461
ENSG00000147155,21,242,WAG-G,gpcr,-3452.97878145,7025.36735979,59,3.01208253134
ENSG00000213694,20,389,mtMet-No,gpcr,-4203.61368182,8520.05398541,56,1.48751147861
ENSG00000011677,20,501,JC69-G,gpcr,-2674.49559744,5463.65491703,57,0.523750463545
ENSG00000135409,21,592,JC69-No,gpcr,-6860.34681704,13837.246774,58,1.54386375836
ENSG00000144476,29,364,LG-G,gpcr,-3497.11416356,7145.31611338,75,1.64976090922
ENSG00000197309,23,317,LG-No,gpcr,-4709.24701272,9543.57482234,62,2.56942936411
ENSG00000105976,22,1422,mtMet-No,gpcr,-11515.2429982,23150.7204389,60,0.872582232379
ENSG00000170820,22,697,JTT-No,gpcr,-6935.29835562,13991.0759884,60,1.26966085347
ENSG00000198049,21,435,HIVBm-G,gpcr,-5014.34590585,10147.471977,59,2.28840332161
ENSG00000187037,24,317,mtMet-No,gpcr,-5282.637638,10694.3782854,64,4.19659828726
ENSG00000007908,22,704,JTT-No,gpcr,-12211.1903475,24542.8551877,60,3.73442016694
ENSG00000176299,24,313,JTT-G,gpcr,-2301.91134079,4734.97497811,65,0.849026104597
ENSG00000165370,21,537,HIVBm-No,gpcr,-6168.84937393,12454.3088388,58,1.92381348812
ENSG00000104290,20,667,WAG-G,gpcr,-2963.57362954,6041.64507568,57,0.300707725351
ENSG00000129048,25,350,WAG-No,gpcr,-3895.77661893,7924.57177985,66,1.47195909888
ENSG00000011677,20,501,mtMet-G,gpcr,-2546.11260197,5206.88892608,57,0.533080820933
ENSG00000170075,21,493,JC69-G,gpcr,-5997.55979835,12113.8074428,59,2.06495016112
ENSG00000149534,21,280,mtMet-G,gpcr,-5240.0500647,10599.3166242,59,7.3027749931
