dataset,type,model,rho
13PK_A,Enzyme,LG,0.998745667994446
13PK_A,Enzyme,WAG,0.9989589995508953
13PK_A,Enzyme,JTT,0.9979991999700147
13PK_A,Enzyme,mtVer,0.9979274647515212
13PK_A,Enzyme,gcpREV,0.9987833076815145
13PK_A,Enzyme,JC69,0.9991413150730568
1A16_A,Enzyme,LG,0.9999327896743385
1A16_A,Enzyme,WAG,0.9999423440041012
1A16_A,Enzyme,JTT,0.9998911492459348
1A16_A,Enzyme,mtVer,0.9997965543742775
1A16_A,Enzyme,gcpREV,0.9999300677199348
1A16_A,Enzyme,JC69,0.9996175796487748
1A4L_A,Enzyme,LG,0.9989760308817986
1A4L_A,Enzyme,WAG,0.9987887039930694
1A4L_A,Enzyme,JTT,0.9988888531697234
1A4L_A,Enzyme,mtVer,0.9994969073553712
1A4L_A,Enzyme,gcpREV,0.9977679600789657
1A4L_A,Enzyme,JC69,0.9948879155536449
1A50_B,Enzyme,LG,0.9996117648885497
1A50_B,Enzyme,WAG,0.9998161132436251
1A50_B,Enzyme,JTT,0.999741769654714
1A50_B,Enzyme,mtVer,0.9997005440630948
1A50_B,Enzyme,gcpREV,0.9998065285195122
1A50_B,Enzyme,JC69,0.999322964295489
1A8H_A,Enzyme,LG,0.999688405922794
1A8H_A,Enzyme,WAG,0.9997340913514149
1A8H_A,Enzyme,JTT,0.9995884585500264
1A8H_A,Enzyme,mtVer,0.9996602485508845
1A8H_A,Enzyme,gcpREV,0.9995556073330909
1A8H_A,Enzyme,JC69,0.9992880098611685
1A8S_A,Enzyme,LG,0.9986881375615607
1A8S_A,Enzyme,WAG,0.998668423622662
1A8S_A,Enzyme,JTT,0.9981037134849271
1A8S_A,Enzyme,mtVer,0.9986698557630443
1A8S_A,Enzyme,gcpREV,0.9988025368655705
1A8S_A,Enzyme,JC69,0.9964555613383428
1AF7_A,Enzyme,LG,0.9983320035534214
1AF7_A,Enzyme,WAG,0.9983372164140517
1AF7_A,Enzyme,JTT,0.9980098135829569
1AF7_A,Enzyme,mtVer,0.9980716487542973
1AF7_A,Enzyme,gcpREV,0.9987631058285885
1AF7_A,Enzyme,JC69,0.9976596638431046
1AJ8_A,Enzyme,LG,0.9997477190594396
1AJ8_A,Enzyme,WAG,0.9998680327659745
1AJ8_A,Enzyme,JTT,0.9997791706115834
1AJ8_A,Enzyme,mtVer,0.9997997517614594
1AJ8_A,Enzyme,gcpREV,0.9996107265629025
1AJ8_A,Enzyme,JC69,0.9995431524639736
1B73_A,Enzyme,LG,0.9997059462612181
1B73_A,Enzyme,WAG,0.9998239265712611
1B73_A,Enzyme,JTT,0.9997059870029052
1B73_A,Enzyme,mtVer,0.9995757036844782
1B73_A,Enzyme,gcpREV,0.9996101844509984
1B73_A,Enzyme,JC69,0.9995166760786338
1B8F_A,Enzyme,LG,0.9996677253756324
1B8F_A,Enzyme,WAG,0.999899031178272
1B8F_A,Enzyme,JTT,0.9998753597179597
1B8F_A,Enzyme,mtVer,0.9996608893751806
1B8F_A,Enzyme,gcpREV,0.9998927038840656
1B8F_A,Enzyme,JC69,0.9978477687713591
1B93_A,Enzyme,LG,0.9993584770108475
