dataset,sequences,sites,model,type,logl,AICc,GammaShape
COX3,350,264,JC69-No,mito,-27150.8670304,55700.2532255,NA
COX2,347,242,JC69-G,mito,-21980.0472074,45339.3453604,0.324050980003
psaJ,339,68,LG-G,chloro,-1348.33635024,3704.26521755,0.487716315246
rbcL,337,509,WAG-No,chloro,-13837.7802261,29006.713312,NA
ND2,352,356,JC69-G,mito,-91168.4560625,183748.832997,0.567304224753
rpl22,316,352,gcpREV-G,chloro,-16074.7234496,33325.6434178,0.724531757457
psbB,327,518,LG-No,chloro,-8952.80049396,19069.5935237,NA
COX2,347,242,mtVer-G,mito,-18363.9182298,38107.0874051,0.589136236489
rpoC1,336,898,WAG-No,chloro,-37684.2105117,76663.1974324,NA
COX1,344,537,gcpREV-G,mito,-21881.2007093,45133.478161,0.354820608325
psbT,341,43,gcpREV-G,chloro,-593.963037655,2093.08771491,0.335530398939
rps2,340,278,gcpREV-G,chloro,-12310.2358585,25858.5403828,0.781589921572
rbcL,337,509,gcpREV-G,chloro,-11857.4264417,25048.0213175,0.272675654262
rpl20,343,193,JTT-G,chloro,-11439.1367233,24142.2450809,0.751337850448
rps4,342,253,mtVer-No,chloro,-12298.6800204,25836.1795029,NA
petG,341,38,WAG-G,chloro,-501.478669137,1830.63462403,0.690239884671
psaJ,339,68,LG-No,chloro,-1405.59254547,3816.68923562,NA
psbC,337,489,gcpREV-No,chloro,-5618.35164389,12394.7651092,NA
ND2,352,356,JTT-G,mito,-78377.745569,158167.41201,0.836266898491
psbT,341,43,JTT-G,chloro,-602.072807714,2109.30725503,0.405707663571
matK,341,773,mtVer-G,chloro,-66821.056171,134985.53214,1.08413865871
rps3,347,313,JC69-G,chloro,-18830.9134653,38969.665945,0.459578786881
COX2,347,242,JTT-G,mito,-19011.5780156,39402.4069767,0.640382071009
atpF,338,257,mtVer-No,chloro,-13298.6449136,27868.5388936,NA
CYTB,348,394,JTT-No,mito,-48291.6585685,97976.3681421,NA
ndhK,301,390,mtVer-G,chloro,-11400.1207701,23913.5048602,0.423404070213
